No,transactionDate,houseAge,distanceToNearestMRTstation,latitude,longitude,housePriceOfUnitArea,houseAgeStandardized
1,2012.917,0.7305936073059361,84.87882,24.98298,121.54024,38.07664233576642,0.7305936073059361
2,2012.917,0.4452054794520548,306.5947,24.98034,121.53951,42.2,0.4452054794520548
3,2013.583,0.3036529680365297,561.9845,24.98746,121.54391,47.3,0.3036529680365297
4,2013.5,0.3036529680365297,561.9845,24.98746,121.54391,54.8,0.3036529680365297
5,2012.833,0.11415525114155252,390.5684,24.97937,121.54245,43.1,0.11415525114155252
6,2012.667,0.16210045662100456,2175.03,24.96305,121.51254,32.1,0.16210045662100456
7,2012.667,0.7876712328767124,623.4731,24.97933,121.53642,40.3,0.7876712328767124
8,2013.417,0.46347031963470325,287.6025,24.98042,121.54228,46.7,0.46347031963470325
9,2013.5,0.723744292237443,5512.038,24.95095,121.48458,18.8,0.723744292237443
10,2013.417,0.408675799086758,1783.18,24.96731,121.51486,22.1,0.408675799086758
11,2013.083,0.7945205479452054,405.2134,24.97349,121.53372,41.4,0.7945205479452054
12,2013.333,0.14383561643835616,90.45606,24.97433,121.5431,58.1,0.14383561643835616
13,2012.917,0.29680365296803657,492.2313,24.96515,121.53737,39.3,0.29680365296803657
14,2012.667,0.4657534246575342,2469.645,24.96108,121.51046,23.8,0.4657534246575342
15,2013.5,0.3013698630136986,1164.838,24.99156,121.53406,34.3,0.3013698630136986
16,2013.583,0.8150684931506851,579.2083,24.9824,121.54619,50.5,0.8150684931506851
17,2013.25,0.0,292.9978,24.97744,121.54458,70.1,0.0
18,2012.75,0.4041095890410959,350.8515,24.97544,121.53119,37.4,0.4041095890410959
19,2013.417,0.3858447488584475,368.1363,24.9675,121.54451,42.3,0.3858447488584475
20,2012.667,0.03424657534246576,23.38284,24.96772,121.54102,47.7,0.03424657534246576
21,2013.417,0.10273972602739727,2275.877,24.96314,121.51151,29.3,0.10273972602739727
22,2013.417,0.2397260273972603,279.1726,24.97528,121.54541,51.6,0.2397260273972603
